house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,688393,1651,1180,600,0,0.90085,0.99644,2,0,2,"602,11,567,579;10,19,580,561",2,0,0.0,326,0.00129,2,0,2,"602,11,567,579;10,19,580,561",2,0,0.0,326,0.00129
leu,75,688412,1670,1169,600,1,0.93773,0.84267,2,1,1,"17,0,602,594;588,0,581,577",2,0,0.0,0,0.0,2,0,2,"594,17,567,575;9,13,575,578",2,0,0.0,72,0.00029
leu,75,688431,1689,1177,600,1,0.9212,0.99621,2,0,2,"9,13,576,574;596,11,572,580",2,0,0.0,3,1e-05,2,0,2,"9,14,576,573;596,11,572,580",2,0,0.0,3,1e-05
leu,75,688450,1708,1180,600,1,0.91396,0.89543,2,1,1,"0,0,589,600;576,0,604,599",2,0,0.0,0,0.0,2,0,2,"9,27,597,550;616,11,556,581",2,0,0.0,615,0.00239
leu,75,688468,1726,1116,600,1,0.92171,0.99824,2,0,2,"9,10,542,581;555,18,552,564",2,0,0.0,3113,0.01292,2,0,2,"9,10,539,581;559,18,548,564",2,0,0.0,3056,0.01271
leu,75,688487,1745,1186,600,1,0.90584,0.99657,2,0,2,"592,11,585,579;9,9,571,582",2,0,0.0,113,0.00044,2,0,3,"592,11,585,579;9,12,571,579",2,0,0.0,58,0.00022
leu,75,688506,1764,1200,592,1,0.95122,0.89426,2,1,1,"1,0,614,592;565,0,635,592",2,0,0.0,0,0.0,2,0,2,"605,7,588,578;6,12,589,569",2,0,0.0,0,0.0
leu,75,688525,1783,1124,600,1,0.93008,0.86065,2,1,1,"3,8,588,588;545,0,579,585",2,0,0.0,0,0.0,2,0,2,"9,20,556,561;575,10,540,581",2,0,0.0,2301,0.00945
leu,75,688543,1801,1166,600,1,0.92542,0.86124,2,1,1,"0,0,598,600;571,0,595,591",2,0,0.0,0,0.0,2,0,2,"9,10,569,580;588,11,568,579",2,0,0.0,772,0.00304
leu,75,688562,1820,1158,600,1,0.92909,0.99876,2,0,2,"9,9,560,582;576,20,573,561",2,0,0.0,110,0.00045,2,0,2,"9,9,559,582;578,20,571,561",2,0,0.0,104,0.00042
leu,75,688581,1839,1200,565,1,0.92208,0.89336,2,1,1,"2,0,620,565;602,0,598,565",2,0,0.0,0,0.0,2,0,2,"609,11,580,544;10,15,587,537",2,0,0.0,0,0.0
leu,75,688600,1858,1200,584,1,0.93164,0.80951,2,1,1,"0,0,562,584;638,0,562,569",2,0,0.0,0,0.0,2,0,2,"606,13,585,562;9,20,587,547",2,0,0.0,0,0.0
leu,75,688619,1877,1200,591,1,0.93206,0.85937,2,1,1,"30,0,600,591;577,0,614,591",2,0,0.0,0,0.0,2,0,2,"10,16,585,563;606,18,585,564",2,0,0.0,0,0.0
leu,75,688637,1895,1200,569,0,0.9456,0.98883,2,0,2,"11,11,582,548;607,19,583,537",2,0,0.0,0,0.0,2,0,3,"11,11,582,548;607,19,583,537",2,0,0.0,0,0.0
leu,75,688656,1914,1185,600,0,0.95202,0.99949,2,0,2,"601,19,575,572;10,14,580,576",2,0,0.0,0,0.0,2,0,2,"601,19,575,572;10,14,580,576",2,0,0.0,0,0.0
leu,75,688675,1933,1200,556,0,0.97501,1.0,2,1,1,"0,0,576,556;608,0,588,556",2,0,0.0,0,0.0,2,1,1,"0,0,576,556;608,0,588,556",2,0,0.0,0,0.0
leu,75,688694,1952,1200,585,1,0.95671,0.99964,2,0,2,"10,17,581,558;599,28,593,535",2,0,0.0,0,0.0,2,0,2,"10,17,580,558;601,28,591,535",2,0,0.0,0,0.0
leu,75,688712,1970,1188,600,1,0.95136,0.99949,2,0,2,"8,13,589,578;602,18,577,568",2,0,0.0,482,0.00183,2,0,2,"8,13,585,578;605,18,574,568",2,0,0.0,472,0.00179
leu,75,688731,1989,1191,600,0,0.93953,0.99907,2,0,2,"11,18,578,572;601,20,581,561",2,0,0.0,0,0.0,2,0,2,"11,18,578,572;601,20,581,561",2,0,0.0,0,0.0
leu,75,688750,2008,1200,582,1,0.92249,0.83729,2,1,1,"0,0,598,582;569,0,590,578",2,0,0.0,0,0.0,2,0,2,"605,20,586,544;9,13,586,560",2,0,0.0,0,0.0
leu,75,688769,2027,1200,599,1,0.9328,0.99795,2,0,2,"10,16,589,574;601,16,589,570",2,1,0.0,80,0.00031,2,0,2,"10,16,584,574;606,16,584,570",2,0,0.0,64,0.00025
leu,75,688787,2045,1200,559,1,0.97229,0.81571,2,1,1,"17,0,582,559;616,0,584,559",2,0,0.0,0,0.0,2,0,2,"599,6,593,548;7,13,582,538",2,0,0.0,251,0.001
