id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755529,rev,1440,1500,30.59,BIN,130.0,7,2,1,1,6693,0.211,0.302
755530,obv,1440,1500,31.63,BIN,122.0,7,11,11,11,1444800,0.63,1.022
755530,rev,1440,1500,30.51,BIN,123.0,7,13,13,13,1535120,0.8,1.204
755531,obv,1440,1500,32.47,BIN,124.0,7,13,13,13,1349052,0.741,1.239
755531,rev,1440,1500,30.57,BIN,125.0,7,7,7,7,1467712,0.392,0.712
755532,obv,1440,1500,29.03,BIN,130.0,7,2,2,2,1380678,0.225,0.377
755532,rev,1440,1500,27.04,BIN,133.0,7,9,9,9,1385954,0.55,0.935
755533,obv,1440,1500,32.59,BIN,127.0,7,10,10,10,1288326,0.61,1.057
755533,rev,1440,1500,29.92,BIN,125.0,7,4,4,4,1460382,0.305,0.49
755534,obv,1440,1500,30.75,BIN,118.0,7,25,24,24,87230,1.169,2.079
755534,rev,1440,1500,30.49,BIN,111.0,7,49,49,49,1995000,3.127,4.725
755535,obv,1440,1500,29.42,BIN,129.0,7,16,16,16,1331942,0.784,1.313
755535,rev,1440,1500,30.17,BIN,126.0,7,13,13,13,1367397,0.598,1.073
755536,obv,1440,1500,32.89,BIN,127.0,7,9,8,8,120320,0.493,0.832
755536,rev,1440,1500,28.29,BIN,124.0,7,5,4,4,7018,0.234,0.435
755537,obv,1440,1500,32.46,BIN,126.0,7,10,10,10,1359488,0.585,0.993
755537,rev,1440,1500,29.65,BIN,126.0,7,5,5,5,1404858,1.013,1.222
755538,obv,1440,1500,31.36,BIN,112.0,7,40,39,39,2127000,1.91,3.092
755538,rev,1440,1500,29.04,BIN,120.0,7,11,10,10,11658,0.476,0.798
755539,obv,1440,1500,30.46,BIN,120.0,7,18,18,18,1231076,1.057,1.681
755539,rev,1440,1500,30.03,BIN,124.0,7,12,12,12,1388590,1.025,1.395
755540,obv,1440,1500,29.4,BIN,125.0,7,10,10,10,1289330,0.703,1.079
755540,rev,1440,1500,29.14,BIN,122.0,7,6,6,6,1505304,0.491,0.779
755541,obv,1440,1500,31.69,BIN,125.0,7,5,5,5,1419642,0.503,0.744
